_MEMBER_cluster_1_x_name,_LogP_cluster_1_x_name,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.1,GDP02344,Endometrioma,M1,1,0
1,-9,GO:0010763,positive regulation of fibroblast migration,M1,1,0
1,-6.1,GO:0060249,anatomical structure homeostasis,M1,1,0
1,-3.6,GO:0002792,negative regulation of peptide secretion,M1,1,0
1,-3,M257,PID EPHRINB REV PATHWAY,M1,1,0
1,-3.6,GO:0060443,mammary gland morphogenesis,M1,1,0
1,-4.4,GO:0033622,integrin activation,M1,1,0
1,-2.4,GO:1902807,negative regulation of cell cycle G1/S phase transition,M1,1,0
1,-2.6,R-HSA-202733,Cell surface interactions at the vascular wall,M1,1,0
1,-3.8,GO:0071805,potassium ion transmembrane transport,M1,1,0
1,-5.8,GO:2000628,regulation of miRNA metabolic process,M1,1,0
1,-7.1,GO:0051896,regulation of protein kinase B signaling,M1,1,0
1,-3.8,GO:0051926,negative regulation of calcium ion transport,M1,1,0
1,-5,WP2263,Androgen receptor network in prostate cancer,M1,1,0
1,-6.6,GO:0051146,striated muscle cell differentiation,M1,1,0
1,-6.1,GO:0002793,positive regulation of peptide secretion,M1,1,0
1,-5.8,GDP02342,Endometrial carcinoma,M1,1,0
1,-7.1,GO:0048738,cardiac muscle tissue development,M1,1,0
1,-3.7,GO:0009266,response to temperature stimulus,M1,1,0
1,-3.6,WP4217,Ebola virus infection in host,M1,1,0
1,-2.3,GO:0042269,regulation of natural killer cell mediated cytotoxicity,M1,1,0
1,-2.4,WP4312,Rett syndrome causing genes,M1,1,0
1,-12,GO:0033674,positive regulation of kinase activity,M1,1,0
1,-4.4,GO:0006814,sodium ion transport,M1,1,0
1,-5.1,M237,PID VEGFR1 2 PATHWAY,M1,1,0
1,-4,WP2857,Mesodermal commitment pathway,M1,1,0
1,-9.6,GO:0019725,cellular homeostasis,M1,1,0
1,-2.9,GDP01348,Clinodactyly,M1,1,0
1,-5.2,GO:1901342,regulation of vasculature development,M1,1,0
1,-13,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-2.2,GDP00622,Atrioventricular block,M1,1,0
1,-2.4,GO:0090311,regulation of protein deacetylation,M1,1,0
1,-2.9,M275,PID ALPHA SYNUCLEIN PATHWAY,M1,1,0
1,-3.1,GDP03396,Hypoalbuminemia,M1,1,0
1,-2.1,hsa04330,Notch signaling pathway,M1,1,0
1,-7.6,WP3915,Angiopoietin-like protein 8 regulatory pathway,M1,1,0
1,-11,GO:0031400,negative regulation of protein modification process,M1,1,0
1,-6,M33,PID GLYPICAN 1PATHWAY,M1,1,0
1,-3.6,GDP00922,Brittle diabetes mellitus,M1,1,0
1,-4,GO:1902305,regulation of sodium ion transmembrane transport,M1,1,0
1,-3.6,GDP06906,Syndactyly of fingers,M1,1,0
1,-4.8,hsa05100,Bacterial invasion of epithelial cells,M1,1,0
1,-6.2,GDP05413,Osteoporosis,M1,1,0
1,-4.2,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,M1,1,0
1,-10,R-HSA-382551,Transport of small molecules,M1,1,0
1,-4,M249,PID PI3KCI AKT PATHWAY,M1,1,0
1,-3.5,R-HSA-69231,Cyclin D associated events in G1,M1,1,0
1,-4.9,GO:0006909,phagocytosis,M1,1,0
1,-4,GDP03517,Hypothyroidism,M1,1,0
1,-2.4,GDP03326,Hyperlipidemia,M1,1,0
1,-2.3,hsa05231,Choline metabolism in cancer,M1,1,0
1,-4,WP289,Myometrial relaxation and contraction pathways,M1,1,0
1,-5.3,WP34,Ovarian infertility,M1,1,0
1,-2.3,GO:0010976,positive regulation of neuron projection development,M1,1,0
1,-3.8,GO:0043462,regulation of ATP-dependent activity,M1,1,0
1,-6.2,GO:0048771,tissue remodeling,M1,1,0
1,-2.9,GO:2001234,negative regulation of apoptotic signaling pathway,M1,1,0
1,-8.9,WP437,EGF/EGFR signaling pathway,M1,1,0
1,-4.1,GO:0097061,dendritic spine organization,M1,1,0
1,-3,GO:0060765,regulation of androgen receptor signaling pathway,M1,1,0
1,-4.9,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,M1,1,0
1,-2,R-HSA-400206,Regulation of lipid metabolism by PPARalpha,M1,1,0
1,-3.9,GO:0051147,regulation of muscle cell differentiation,M1,1,0
1,-2.5,R-HSA-9013404,RAC2 GTPase cycle,M1,1,0
1,-4.1,GO:0046888,negative regulation of hormone secretion,M1,1,0
1,-4.2,GO:0017157,regulation of exocytosis,M1,1,0
1,-6.4,GO:0008585,female gonad development,M1,1,0
1,-8.9,GO:0051051,negative regulation of transport,M1,1,0
1,-5.1,GO:0048667,cell morphogenesis involved in neuron differentiation,M1,1,0
1,-10,GO:0090066,regulation of anatomical structure size,M1,1,0
1,-2.3,GO:0043279,response to alkaloid,M1,1,0
1,-2,GO:0090068,positive regulation of cell cycle process,M1,1,0
1,-2.7,GDP02956,HYPERTRICHOSIS,M1,1,0
1,-4.4,M125,PID IGF1 PATHWAY,M1,1,0
1,-3.5,hsa04621,NOD-like receptor signaling pathway,M1,1,0
1,-2.3,GDP03840,Jacksonian Seizure,M1,1,0
1,-4.1,M30,PID HDAC CLASSII PATHWAY,M1,1,0
1,-6.3,hsa04360,Axon guidance,M1,1,0
1,-2.6,GO:0022404,molting cycle process,M1,1,0
1,-4.2,GO:0002244,hematopoietic progenitor cell differentiation,M1,1,0
1,-2.8,GO:0050900,leukocyte migration,M1,1,0
1,-8.1,GO:0071901,negative regulation of protein serine/threonine kinase activity,M1,1,0
1,-6.4,GO:0048729,tissue morphogenesis,M1,1,0
1,-4.5,GO:0010874,regulation of cholesterol efflux,M1,1,0
1,-7.5,GO:0048858,cell projection morphogenesis,M1,1,0
1,-2.7,GO:0003231,cardiac ventricle development,M1,1,0
1,-3.6,GO:1904646,cellular response to amyloid-beta,M1,1,0
1,-2.2,GO:0000077,DNA damage checkpoint signaling,M1,1,0
1,-3.6,GO:0002088,lens development in camera-type eye,M1,1,0
1,-3.3,GO:0050982,detection of mechanical stimulus,M1,1,0
1,-2.4,GO:2001239,regulation of extrinsic apoptotic signaling pathway in absence of ligand,M1,1,0
1,-6.1,GO:0097659,nucleic acid-templated transcription,M1,1,0
1,-3.5,GO:0051169,nuclear transport,M1,1,0
1,-3,hsa05145,Toxoplasmosis,M1,1,0
1,-3,GO:0015849,organic acid transport,M1,1,0
1,-9.2,GDP03927,Kidney Disease,M1,1,0
1,-4.3,GO:0010565,regulation of cellular ketone metabolic process,M1,1,0
1,-11,GO:1901653,cellular response to peptide,M1,1,0
1,-3.1,GDP06512,Seronegative polyarthritis,M1,1,0
1,-3.1,GO:1901655,cellular response to ketone,M1,1,0
1,-3,GO:0007610,behavior,M1,1,0
1,-3.4,R-HSA-9758941,Gastrulation,M1,1,0
1,-3.4,GDP02229,Dysphagia,M1,1,0
1,-2,GO:0051101,regulation of DNA binding,M1,1,0
1,-8.2,WP2261,Glioblastoma signaling pathways,M1,1,0
1,-11,R-HSA-5684996,MAPK1/MAPK3 signaling,M1,1,0
1,-3.3,M122,PID IL2 1PATHWAY,M1,1,0
1,-6.8,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M1,1,0
1,-2.1,R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,M1,1,0
1,-4.3,GDP05071,Neuroblastoma,M1,1,0
1,-5.9,WP5036,Angiotensin II receptor type 1 pathway,M1,1,0
1,-9.3,hsa05226,Gastric cancer,M1,1,0
1,-3.3,R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),M1,1,0
1,-6.6,GO:1903035,negative regulation of response to wounding,M1,1,0
1,-4,GDP02411,Epileptic encephalopathy,M1,1,0
1,-23,GO:0003018,vascular process in circulatory system,M1,1,0
1,-6.5,WP4963,p53 transcriptional gene network,M1,1,0
1,-2.2,GO:0002715,regulation of natural killer cell mediated immunity,M1,1,0
1,-2.4,GO:0071326,cellular response to monosaccharide stimulus,M1,1,0
1,-2.7,GO:0001942,hair follicle development,M1,1,0
1,-9.4,GO:0010232,vascular transport,M1,1,0
1,-2.5,GO:0006520,amino acid metabolic process,M1,1,0
1,-12,R-HSA-2219528,PI3K/AKT Signaling in Cancer,M1,1,0
1,-5.7,GO:0034284,response to monosaccharide,M1,1,0
1,-7.4,GDP04907,Myocardial Ischemia,M1,1,0
1,-2.3,R-HSA-202424,Downstream TCR signaling,M1,1,0
1,-2.4,GO:0016042,lipid catabolic process,M1,1,0
1,-5.1,GDP02392,Epilepsy,M1,1,0
1,-2.1,GDP03208,High palate,M1,1,0
1,-3.8,hsa01524,Platinum drug resistance,M1,1,0
1,-6.8,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-6.2,GO:0030644,intracellular chloride ion homeostasis,M1,1,0
1,-4,hsa05221,Acute myeloid leukemia,M1,1,0
1,-2.8,hsa04935,"Growth hormone synthesis, secretion and action",M1,1,0
1,-6.2,GDP04174,Liver carcinoma,M1,1,0
1,-6.6,GO:0001542,ovulation from ovarian follicle,M1,1,0
1,-5.1,WP3303,RAC1/PAK1/p38/MMP2 pathway,M1,1,0
1,-2.1,R-HSA-1989781,PPARA activates gene expression,M1,1,0
1,-6,GO:0010875,positive regulation of cholesterol efflux,M1,1,0
1,-4.2,GO:0050671,positive regulation of lymphocyte proliferation,M1,1,0
1,-2.7,M229,PID P38 ALPHA BETA DOWNSTREAM PATHWAY,M1,1,0
1,-6,WP2034,Leptin signaling pathway,M1,1,0
1,-4.1,M143,PID IL2 PI3K PATHWAY,M1,1,0
1,-2.7,GDP04629,Micrognathism,M1,1,0
1,-9.6,hsa04371,Apelin signaling pathway,M1,1,0
1,-4.2,hsa04978,Mineral absorption,M1,1,0
1,-10,GO:0034329,cell junction assembly,M1,1,0
1,-2.7,GDP05525,Papillary Adenoma,M1,1,0
1,-2.8,GO:0045806,negative regulation of endocytosis,M1,1,0
1,-8.9,GO:0043269,regulation of monoatomic ion transport,M1,1,0
1,-3.9,GO:0031396,regulation of protein ubiquitination,M1,1,0
1,-7.4,GO:0007589,body fluid secretion,M1,1,0
1,-3.4,hsa04140,Autophagy - animal,M1,1,0
1,-3.5,WP2203,Thymic stromal lymphopoietin (TSLP) signaling pathway,M1,1,0
1,-2,GO:0045833,negative regulation of lipid metabolic process,M1,1,0
1,-7.2,WP363,Wnt signaling pathway,M1,1,0
1,-4.2,GO:0045428,regulation of nitric oxide biosynthetic process,M1,1,0
