Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
cluster_1_x_name,GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-24,11,18,30244,494,183,33,18,2.8,59|154|348|490|857|1373|1584|2534|2697|3643|3672|4035|4088|4624|4846|4881|4883|6541|6542|6558|6581|6833|7040|7525|10060|10266|10979|23327|23576|27347|28232|50507|83988,ACTA2|ADRB2|APOE|ATP2B1|CAV1|CPS1|CYP11B1|FYN|GJA1|INSR|ITGA1|LRP1|SMAD3|MYH6|NOS3|NPR1|NPR3|SLC7A1|SLC7A2|SLC12A2|SLC22A3|ABCC8|TGFB1|YES1|ABCC9|RAMP2|FERMT2|NEDD4L|DDAH1|STK39|SLCO3A1|NOX4|NCALD,-20
cluster_1_x_name,GO Biological Processes,19,GO:0003018,vascular process in circulatory system,19_GO:0032501 multicellular organismal process,-20,15,18,30244,267,183,24,13,2.5,59|154|348|490|857|1373|3643|3672|4035|4846|4881|4883|6541|6542|6558|6581|6833|7040|7525|10060|10266|10979|23576|28232,ACTA2|ADRB2|APOE|ATP2B1|CAV1|CPS1|INSR|ITGA1|LRP1|NOS3|NPR1|NPR3|SLC7A1|SLC7A2|SLC12A2|SLC22A3|ABCC8|TGFB1|YES1|ABCC9|RAMP2|FERMT2|DDAH1|SLCO3A1,-16
cluster_1_x_name,GO Biological Processes,19,GO:0043549,regulation of kinase activity,19_GO:0008152 metabolic process,-20,7.8,14,30244,717,183,34,19,2.9,154|348|595|857|898|905|1026|1031|1445|1605|1843|1855|2260|2268|2547|3643|5156|5208|5571|5587|5728|5747|6259|7040|8503|8660|8861|10614|10979|23411|50507|51422|80824|89780,ADRB2|APOE|CCND1|CAV1|CCNE1|CCNT2|CDKN1A|CDKN2C|CSK|DAG1|DUSP1|DVL1|FGFR1|FGR|XRCC6|INSR|PDGFRA|PFKFB2|PRKAG1|PRKD1|PTEN|PTK2|RYK|TGFB1|PIK3R3|IRS2|LDB1|HEXIM1|FERMT2|SIRT1|NOX4|PRKAG2|DUSP16|WNT3A,-16
cluster_1_x_name,Reactome Gene Sets,6,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,,-20,11,16,30244,433,183,28,15,2.7,1026|1445|1488|2099|2260|2309|2335|2534|4088|5156|5529|5728|6934|7040|7094|7525|8503|8660|9612|10818|22808|22906|50507|51530|79109|80824|89780|152831,CDKN1A|CSK|CTBP2|ESR1|FGFR1|FOXO3|FN1|FYN|SMAD3|PDGFRA|PPP2R5E|PTEN|TCF7L2|TGFB1|TLN1|YES1|PIK3R3|IRS2|NCOR2|FRS2|MRAS|TRAK1|NOX4|ZC3HC1|MAPKAP1|DUSP16|WNT3A|KLB,-16
cluster_1_x_name,GeDiPNet,37,GDP01073,Cardiovascular Diseases,,-19,14,17,30244,266,183,23,13,2.5,348|490|1557|3643|4650|4773|4792|4846|4881|5581|6541|6558|7525|8633|9351|11112|22808|23236|51422|51530|57580|79068|83988,APOE|ATP2B1|CYP2C19|INSR|MYO9B|NFATC2|NFKBIA|NOS3|NPR1|PRKCE|SLC7A1|SLC12A2|YES1|UNC5C|NHERF2|HIBADH|MRAS|PLCB1|PRKAG2|ZC3HC1|PREX1|FTO|NCALD,-16
cluster_1_x_name,GeDiPNet,37,GDP05999,Prostatic Neoplasms,,-18,8,14,30244,618,183,30,16,2.7,154|463|595|596|658|857|1026|1488|1557|1605|2099|2346|2697|3728|4292|4507|4846|4883|5530|5728|6237|6541|6558|6581|7040|7514|8289|23411|84181|135112,ADRB2|ZFHX3|CCND1|BCL2|BMPR1B|CAV1|CDKN1A|CTBP2|CYP2C19|DAG1|ESR1|FOLH1|GJA1|JUP|MLH1|MTAP|NOS3|NPR3|PPP3CA|PTEN|RRAS|SLC7A1|SLC12A2|SLC22A3|TGFB1|XPO1|ARID1A|SIRT1|CHD6|NCOA7,-14
cluster_1_x_name,Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-18,8.8,14,30244,524,183,28,15,2.7,348|857|1398|1445|1500|1785|2060|2099|2260|2335|2534|2904|3643|3728|4205|4846|5156|5241|5581|5747|5774|7525|8503|8660|10152|10818|79109|152831,APOE|CAV1|CRK|CSK|CTNND1|DNM2|EPS15|ESR1|FGFR1|FN1|FYN|GRIN2B|INSR|JUP|MEF2A|NOS3|PDGFRA|PGR|PRKCE|PTK2|PTPN3|YES1|PIK3R3|IRS2|ABI2|FRS2|MAPKAP1|KLB,-14
cluster_1_x_name,WikiPathways,27,WP3888,VEGFA-VEGFR2 signaling,,-17,9.6,14,30244,432,183,25,14,2.5,154|595|596|857|1398|1445|1500|2060|2309|2335|2534|2697|4773|4792|4846|5530|5581|5587|5747|5868|5970|6541|10818|50507|79109,ADRB2|CCND1|BCL2|CAV1|CRK|CSK|CTNND1|EPS15|FOXO3|FN1|FYN|GJA1|NFATC2|NFKBIA|NOS3|PPP3CA|PRKCE|PRKD1|PTK2|RAB5A|RELA|SLC7A1|FRS2|NOX4|MAPKAP1,-13
cluster_1_x_name,GeDiPNet,37,GDP01765,Coronary artery disease,,-16,12,15,30244,313,183,22,12,2.4,348|406|490|658|1445|2009|2099|2335|3672|4035|4088|4205|4650|4846|5581|6581|6934|7040|8178|8633|22808|51530,APOE|BMAL1|ATP2B1|BMPR1B|CSK|EML1|ESR1|FN1|ITGA1|LRP1|SMAD3|MEF2A|MYO9B|NOS3|PRKCE|SLC22A3|TCF7L2|TGFB1|ELL|UNC5C|MRAS|ZC3HC1,-13
cluster_1_x_name,GeDiPNet,37,GDP04906,Myocardial Infarction,,-16,11,14,30244,355,183,23,13,2.5,59|348|490|596|857|1152|1593|2099|3663|3672|4088|4205|4846|4881|5156|5581|7040|8204|9612|23411|50507|51530|79109,ACTA2|APOE|ATP2B1|BCL2|CAV1|CKB|CYP27A1|ESR1|IRF5|ITGA1|SMAD3|MEF2A|NOS3|NPR1|PDGFRA|PRKCE|TGFB1|NRIP1|NCOR2|SIRT1|NOX4|ZC3HC1|MAPKAP1,-13
