Cluster,Score,Type,Gene,Symbol,Network
4,2.4285714285714284,Clustered,2335,FN1,cluster_1_x_name_SUB1
4,2.4285714285714284,Clustered,2268,FGR,cluster_1_x_name_SUB1
4,2.4285714285714284,Clustered,3672,ITGA1,cluster_1_x_name_SUB1
4,2.4285714285714284,Seed,1398,CRK,cluster_1_x_name_SUB1
4,2.4285714285714284,Clustered,5747,PTK2,cluster_1_x_name_SUB1
4,2.4285714285714284,Clustered,2534,FYN,cluster_1_x_name_SUB1
4,2.4285714285714284,Clustered,7094,TLN1,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,8289,ARID1A,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,4846,NOS3,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,1445,CSK,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,2099,ESR1,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,1785,DNM2,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,2547,XRCC6,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,8945,BTRC,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,3643,INSR,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,60312,AFAP1,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,1655,DDX5,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,2904,GRIN2B,cluster_1_x_name_SUB1
2,2.1333333333333333,Seed,8554,PIAS1,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,5970,RELA,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,7525,YES1,cluster_1_x_name_SUB1
2,2.1333333333333333,Clustered,10818,FRS2,cluster_1_x_name_SUB1
1,2.0,Clustered,5241,PGR,cluster_1_x_name_SUB1
1,2.0,Clustered,3728,JUP,cluster_1_x_name_SUB1
1,2.0,Clustered,8204,NRIP1,cluster_1_x_name_SUB1
1,2.0,Clustered,3159,HMGA1,cluster_1_x_name_SUB1
1,2.0,Clustered,2060,EPS15,cluster_1_x_name_SUB1
1,2.0,Clustered,9612,NCOR2,cluster_1_x_name_SUB1
1,2.0,Clustered,6857,SYT1,cluster_1_x_name_SUB1
1,2.0,Clustered,1500,CTNND1,cluster_1_x_name_SUB1
1,2.0,Clustered,1129,CHRM2,cluster_1_x_name_SUB1
1,2.0,Seed,7329,UBE2I,cluster_1_x_name_SUB1
1,2.0,Clustered,154,ADRB2,cluster_1_x_name_SUB1
1,2.0,Clustered,23236,PLCB1,cluster_1_x_name_SUB1
1,2.0,Clustered,8395,PIP5K1B,cluster_1_x_name_SUB1
1,2.0,Clustered,8503,PIK3R3,cluster_1_x_name_SUB1
1,2.0,Clustered,5287,PIK3C2B,cluster_1_x_name_SUB1
1,2.0,Clustered,6497,SKI,cluster_1_x_name_SUB1
1,2.0,Clustered,23411,SIRT1,cluster_1_x_name_SUB1
1,2.0,Clustered,857,CAV1,cluster_1_x_name_SUB1
1,2.0,Clustered,406,BMAL1,cluster_1_x_name_SUB1
1,2.0,Clustered,84251,SGIP1,cluster_1_x_name_SUB1
1,2.0,Clustered,1605,DAG1,cluster_1_x_name_SUB1
1,2.0,Clustered,6934,TCF7L2,cluster_1_x_name_SUB1
1,2.0,Clustered,1026,CDKN1A,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,6201,RPS7,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,5581,PRKCE,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,2697,GJA1,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,10979,FERMT2,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,7514,XPO1,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,2260,FGFR1,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,490,ATP2B1,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,5868,RAB5A,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,987,LRBA,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,6558,SLC12A2,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,4792,NFKBIA,cluster_1_x_name_SUB1
3,1.8333333333333335,Clustered,8660,IRS2,cluster_1_x_name_SUB1
