_MEMBER_cluster_1_x_name,_LogP_cluster_1_x_name,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.4,COVID191,M1,1,0,COVID,200,RNA_Stukalov_A549-ACE2_24h_Up,,-6.4,12,9,30244,98,207,8,3.9,1.3,463|596|1106|1843|2669|4792|80824|81619,ZFHX3|BCL2|CHD2|DUSP1|GEM|NFKBIA|DUSP16|TSPAN14,-4.4,0
1,-5.9,COVID038,M1,1,0,COVID,200,RNA_Sun_Calu-3_12h_Up,,-5.9,5.8,7,30244,300,207,12,5.8,1.6,154|905|1106|1843|2309|2669|4792|8204|10818|23411|80824|135112,ADRB2|CCNT2|CHD2|DUSP1|FOXO3|GEM|NFKBIA|NRIP1|FRS2|SIRT1|DUSP16|NCOA7,-4,0
1,-5.9,COVID199,M1,1,0,COVID,200,Ubiquitinome_Stukalov_A549-ACE2_24h_Up,,-5.9,5.8,7,30244,300,207,12,5.8,1.6,490|857|1152|2697|3159|3643|5217|5868|6541|6542|6558|23327,ATP2B1|CAV1|CKB|GJA1|HMGA1|INSR|PFN2|RAB5A|SLC7A1|SLC7A2|SLC12A2|NEDD4L,-4,0
1,-5.2,COVID189,M1,1,0,COVID,200,RNA_Stukalov_A549-ACE2_18h_Up,,-5.2,13,8.3,30244,66,207,6,2.9,1.2,596|905|1106|1843|4792|80824,BCL2|CCNT2|CHD2|DUSP1|NFKBIA|DUSP16,-3.4,0
1,-5.1,COVID040,M1,1,0,COVID,200,RNA_Sun_Calu-3_24h_Up,,-5.1,5.4,6.3,30244,300,207,11,5.3,1.6,905|1106|1843|2309|2669|4792|8503|10818|23327|80824|135112,CCNT2|CHD2|DUSP1|FOXO3|GEM|NFKBIA|PIK3R3|FRS2|NEDD4L|DUSP16|NCOA7,-3.4,0
1,-5.1,COVID383,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_ORF3B,,-5.1,5.4,6.3,30244,300,207,11,5.3,1.6,857|987|1500|2697|6541|7525|8633|23236|29763|54822|259230,CAV1|LRBA|CTNND1|GJA1|SLC7A1|YES1|UNC5C|PLCB1|PACSIN3|TRPM7|SGMS1,-3.4,0
1,-5.1,COVID390,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_S,,-5.1,5.4,6.3,30244,300,207,11,5.3,1.6,857|2697|5587|10818|10979|23236|23683|54822|57130|59343|79109,CAV1|GJA1|PRKD1|FRS2|FERMT2|PLCB1|PRKD3|TRPM7|ATP13A1|SENP2|MAPKAP1,-3.4,0
1,-4.3,COVID057,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,,-4.3,4.9,5.6,30244,300,207,10,4.8,1.5,1026|2669|4205|5208|9612|10152|23327|51530|55689|60312,CDKN1A|GEM|MEF2A|PFKFB2|NCOR2|ABI2|NEDD4L|ZC3HC1|YEATS2|AFAP1,-2.7,0
1,-4.3,COVID065,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_8h_Down,,-4.3,4.9,5.6,30244,300,207,10,4.8,1.5,1026|1398|2669|3159|4205|5208|9612|23327|51530|55689,CDKN1A|CRK|GEM|HMGA1|MEF2A|PFKFB2|NCOR2|NEDD4L|ZC3HC1|YEATS2,-2.7,0
1,-4.3,COVID234,M1,1,0,COVID,200,Phosphoproteome_Klann_Caco-2_24h_Down,,-4.3,4.9,5.6,30244,300,207,10,4.8,1.5,1500|4773|6497|8289|8861|9612|23327|29763|57130|84444,CTNND1|NFATC2|SKI|ARID1A|LDB1|NCOR2|NEDD4L|PACSIN3|ATP13A1|DOT1L,-2.7,0
