_MEMBER_cluster_1_x_name,_LogP_cluster_1_x_name,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-52,C0428883,M1,1,0,DisGeNET,35,Diastolic blood pressure,,-52,16,29,30244,507,207,57,28,3.1,51|406|463|490|887|1445|1488|1557|1593|2099|2335|3643|4624|4650|4773|4846|4883|4988|5208|5581|5596|5747|6259|6541|6542|6546|6934|7369|7525|8170|8503|8554|8945|9033|9351|9612|10174|10864|10979|22808|23236|23327|23683|28232|50507|51422|51530|54617|55107|55689|57419|57580|59343|64116|79068|81570|85004,ACOX1|BMAL1|ZFHX3|ATP2B1|CCKBR|CSK|CTBP2|CYP2C19|CYP27A1|ESR1|FN1|INSR|MYH6|MYO9B|NFATC2|NOS3|NPR3|OPRM1|PFKFB2|PRKCE|MAPK4|PTK2|RYK|SLC7A1|SLC7A2|SLC8A1|TCF7L2|UMOD|YES1|SLC14A2|PIK3R3|PIAS1|BTRC|PKD2L1|NHERF2|NCOR2|SORBS3|SLC22A7|FERMT2|MRAS|PLCB1|NEDD4L|PRKD3|SLCO3A1|NOX4|PRKAG2|ZC3HC1|INO80|ANO1|YEATS2|SLC24A3|PREX1|SENP2|SLC39A8|FTO|CLPB|RERG,-47,0
1,-25,C0011853,M1,1,0,DisGeNET,35,"Diabetes Mellitus, Experimental",,-25,10,17,30244,522,207,36,17,2.6,51|348|358|406|596|842|857|887|1026|1129|1373|1584|1843|2099|2309|2335|2696|2697|2904|3643|3767|4205|4792|4846|4988|5581|5970|6546|6720|7040|7369|8660|10060|10266|23411|50507,ACOX1|APOE|AQP1|BMAL1|BCL2|CASP9|CAV1|CCKBR|CDKN1A|CHRM2|CPS1|CYP11B1|DUSP1|ESR1|FOXO3|FN1|GIPR|GJA1|GRIN2B|INSR|KCNJ11|MEF2A|NFKBIA|NOS3|OPRM1|PRKCE|RELA|SLC8A1|SREBF1|TGFB1|UMOD|IRS2|ABCC9|RAMP2|SIRT1|NOX4,-21,0
1,-20,C4551686,M1,1,0,DisGeNET,35,Malignant neoplasm of soft tissue,,-20,7.3,14,30244,699,207,35,17,2.6,595|596|857|1026|1031|1398|1445|2099|2260|2335|2346|4205|4292|4773|4792|4988|5156|5241|5728|5747|5970|6497|6857|7040|7049|7094|7329|7514|7525|8289|8660|8842|23411|55107|150094,CCND1|BCL2|CAV1|CDKN1A|CDKN2C|CRK|CSK|ESR1|FGFR1|FN1|FOLH1|MEF2A|MLH1|NFATC2|NFKBIA|OPRM1|PDGFRA|PGR|PTEN|PTK2|RELA|SKI|SYT1|TGFB1|TGFBR3|TLN1|UBE2I|XPO1|YES1|ARID1A|IRS2|PROM1|SIRT1|ANO1|SIK1,-16,0
1,-19,C0205682,M1,1,0,DisGeNET,35,Waist-Hip Ratio,,-19,8.3,14,30244,565,207,32,15,2.5,348|490|595|596|744|1445|1605|2260|2309|2335|2696|2904|3643|4053|4088|4205|4650|4883|5287|6581|6833|6934|22808|23166|23331|28232|55689|64116|79068|79901|84444|84871,APOE|ATP2B1|CCND1|BCL2|MPPED2|CSK|DAG1|FGFR1|FOXO3|FN1|GIPR|GRIN2B|INSR|LTBP2|SMAD3|MEF2A|MYO9B|NPR3|PIK3C2B|SLC22A3|ABCC8|TCF7L2|MRAS|STAB1|TTC28|SLCO3A1|YEATS2|SLC39A8|FTO|CYBRD1|DOT1L|AGBL4,-16,0
1,-19,C3203102,M1,1,0,DisGeNET,35,Idiopathic pulmonary arterial hypertension,,-19,6.8,14,30244,776,207,36,17,2.6,59|154|358|595|596|658|857|1026|1398|1844|2099|2260|2309|2697|2904|3159|3663|4035|4088|4773|4846|5156|5728|5970|6546|6625|6833|6857|7040|7049|10614|23411|23576|50507|54822|55107,ACTA2|ADRB2|AQP1|CCND1|BCL2|BMPR1B|CAV1|CDKN1A|CRK|DUSP2|ESR1|FGFR1|FOXO3|GJA1|GRIN2B|HMGA1|IRF5|LRP1|SMAD3|NFATC2|NOS3|PDGFRA|PTEN|RELA|SLC8A1|SNRNP70|ABCC8|SYT1|TGFB1|TGFBR3|HEXIM1|SIRT1|DDAH1|NOX4|TRPM7|ANO1,-15,0
1,-18,C0151744,M1,1,0,DisGeNET,35,Myocardial Ischemia,,-18,6.8,13,30244,756,207,35,17,2.6,154|348|406|490|595|596|1398|1557|1843|2099|2309|2335|2697|3767|4205|4792|4846|4881|5581|5728|5868|5970|6523|6546|6833|6857|6934|7040|8554|8842|10060|10266|23411|23576|54822,ADRB2|APOE|BMAL1|ATP2B1|CCND1|BCL2|CRK|CYP2C19|DUSP1|ESR1|FOXO3|FN1|GJA1|KCNJ11|MEF2A|NFKBIA|NOS3|NPR1|PRKCE|PTEN|RAB5A|RELA|SLC5A1|SLC8A1|ABCC8|SYT1|TCF7L2|TGFB1|PIAS1|PROM1|ABCC9|RAMP2|SIRT1|DDAH1|TRPM7,-15,0
1,-18,C1449563,M1,1,0,DisGeNET,35,"Cardiomyopathy, Familial Idiopathic",,-18,6.6,13,30244,772,207,35,17,2.6,59|154|348|595|596|1129|1544|1605|1843|2099|2260|2335|2697|3663|4053|4088|4205|4624|4846|5241|5581|5587|5728|6523|6581|6934|7040|8842|10060|23411|23576|50507|54822|84444|150094,ACTA2|ADRB2|APOE|CCND1|BCL2|CHRM2|CYP1A2|DAG1|DUSP1|ESR1|FGFR1|FN1|GJA1|IRF5|LTBP2|SMAD3|MEF2A|MYH6|NOS3|PGR|PRKCE|PRKD1|PTEN|SLC5A1|SLC22A3|TCF7L2|TGFB1|PROM1|ABCC9|SIRT1|DDAH1|NOX4|TRPM7|DOT1L|SIK1,-15,0
1,-18,C0740391,M1,1,0,DisGeNET,35,Middle Cerebral Artery Occlusion,,-18,7.5,14,30244,626,207,32,15,2.5,348|358|595|596|842|857|1398|2099|2260|2697|2904|3159|4035|4846|4988|5241|5587|5728|5970|6523|6546|6558|6857|7040|7329|7369|10266|23411|27347|50507|54498|89780,APOE|AQP1|CCND1|BCL2|CASP9|CAV1|CRK|ESR1|FGFR1|GJA1|GRIN2B|HMGA1|LRP1|NOS3|OPRM1|PGR|PRKD1|PTEN|RELA|SLC5A1|SLC8A1|SLC12A2|SYT1|TGFB1|UBE2I|UMOD|RAMP2|SIRT1|STK39|NOX4|SMOX|WNT3A,-15,0
1,-18,C2936719,M1,1,0,DisGeNET,35,Mechanical Allodynia,,-18,9.7,15,30244,408,207,27,13,2.3,358|406|887|1398|1445|1843|1844|2697|2904|3643|3663|4792|4988|5581|5587|5970|6237|6558|6833|6857|7369|9213|10818|23411|23576|55107|79109,AQP1|BMAL1|CCKBR|CRK|CSK|DUSP1|DUSP2|GJA1|GRIN2B|INSR|IRF5|NFKBIA|OPRM1|PRKCE|PRKD1|RELA|RRAS|SLC12A2|ABCC8|SYT1|UMOD|XPR1|FRS2|SIRT1|DDAH1|ANO1|MAPKAP1,-15,0
1,-16,C0149721,M1,1,0,DisGeNET,35,Left Ventricular Hypertrophy,,-16,9.1,14,30244,403,207,25,12,2.3,154|857|1152|1785|1843|2099|2260|2309|2335|2697|4088|4624|4846|4881|5530|5728|5747|5970|6546|7040|10614|23411|23576|50507|51422,ADRB2|CAV1|CKB|DNM2|DUSP1|ESR1|FGFR1|FOXO3|FN1|GJA1|SMAD3|MYH6|NOS3|NPR1|PPP3CA|PTEN|PTK2|RELA|SLC8A1|TGFB1|HEXIM1|SIRT1|DDAH1|NOX4|PRKAG2,-13,0
