_MEMBER_cluster_1_x_name,_LogP_cluster_1_x_name,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-13,TRR01256,M1,1,0,TRRUST,34,Regulated by: SP1,,-13,7,11,30244,525,207,25,12,2.3,348|595|596|857|1026|1593|2099|2260|2696|2697|3159|3643|3663|4846|4988|5241|5581|5728|5970|6720|7040|8660|8842|23411|64116,APOE|CCND1|BCL2|CAV1|CDKN1A|CYP27A1|ESR1|FGFR1|GIPR|GJA1|HMGA1|INSR|IRF5|NOS3|OPRM1|PGR|PRKCE|PTEN|RELA|SREBF1|TGFB1|IRS2|PROM1|SIRT1|SLC39A8,-10,0
1,-8.5,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-8.5,10,9.9,30244,175,207,12,5.8,1.6,595|596|857|1026|1843|2099|2309|4088|5728|5970|6934|7514,CCND1|BCL2|CAV1|CDKN1A|DUSP1|ESR1|FOXO3|SMAD3|PTEN|RELA|TCF7L2|XPO1,-6.1,0
1,-8.3,TRR00023,M1,1,0,TRRUST,34,Regulated by: ATF2,,-8.3,28,14,30244,36,207,7,3.4,1.3,595|1026|1584|1843|2335|4846|5970,CCND1|CDKN1A|CYP11B1|DUSP1|FN1|NOS3|RELA,-6,0
1,-8.3,TRR00230,M1,1,0,TRRUST,34,Regulated by: E2F1,,-8.3,11,10,30244,143,207,11,5.3,1.6,595|596|898|987|1026|1843|2260|3159|8204|50507|94241,CCND1|BCL2|CCNE1|LRBA|CDKN1A|DUSP1|FGFR1|HMGA1|NRIP1|NOX4|TP53INP1,-6,0
1,-7.5,TRR01029,M1,1,0,TRRUST,34,Regulated by: PGR,,-7.5,31,13,30244,28,207,6,2.9,1.2,595|596|1843|2099|5970|8660,CCND1|BCL2|DUSP1|ESR1|RELA|IRS2,-5.3,0
1,-7.1,TRR01158,M1,1,0,TRRUST,34,Regulated by: RELA,,-7.1,6.1,7.8,30244,333,207,14,6.8,1.7,595|596|842|1026|2309|2335|4792|4846|5241|5728|9612|23411|27347|50507,CCND1|BCL2|CASP9|CDKN1A|FOXO3|FN1|NFKBIA|NOS3|PGR|PTEN|NCOR2|SIRT1|STK39|NOX4,-5,0
1,-7,TRR00875,M1,1,0,TRRUST,34,Regulated by: NFKB1,,-7,6,7.7,30244,339,207,14,6.8,1.7,595|596|842|1026|2309|2335|4792|4846|4988|5728|7040|9612|27347|50507,CCND1|BCL2|CASP9|CDKN1A|FOXO3|FN1|NFKBIA|NOS3|OPRM1|PTEN|TGFB1|NCOR2|STK39|NOX4,-4.9,0
1,-5.6,TRR00275,M1,1,0,TRRUST,34,Regulated by: ESR1,,-5.6,12,8.3,30244,87,207,7,3.4,1.3,463|595|596|1026|1557|2099|5241,ZFHX3|CCND1|BCL2|CDKN1A|CYP2C19|ESR1|PGR,-3.8,0
1,-5.6,TRR01259,M1,1,0,TRRUST,34,Regulated by: SP3,,-5.6,9.3,7.7,30244,126,207,8,3.9,1.3,595|1026|1593|2696|4846|4988|5970|50507,CCND1|CDKN1A|CYP27A1|GIPR|NOS3|OPRM1|RELA|NOX4,-3.7,0
1,-5.5,TRR00339,M1,1,0,TRRUST,34,Regulated by: FHL2,,-5.5,88,16,30244,5,207,3,1.4,0.83,595|1026|5970,CCND1|CDKN1A|RELA,-3.7,0
