Gene,TotalEvidenceCounts,EvidenceHit:cluster_1_x_name,EvidenceGO:cluster_1_x_name,EvidencePPI:cluster_1_x_name
898,3.0,1,1,1
8503,3.0,1,1,1
4881,3.0,1,1,1
5571,3.0,1,1,1
2534,3.0,1,1,1
28232,3.0,1,1,1
135112,3.0,1,1,1
1026,3.0,1,1,1
23331,3.0,1,1,1
2904,3.0,1,1,1
2060,3.0,1,1,1
3159,3.0,1,1,1
6259,3.0,1,1,1
8660,3.0,1,1,1
1584,3.0,1,1,1
3767,3.0,1,1,1
5530,3.0,1,1,1
23411,3.0,1,1,1
1844,3.0,1,1,1
23576,3.0,1,1,1
2268,3.0,1,1,1
23654,3.0,1,1,1
9351,3.0,1,1,1
8554,3.0,1,1,1
51422,3.0,1,1,1
6541,3.0,1,1,1
4205,3.0,1,1,1
83988,3.0,1,1,1
490,3.0,1,1,1
2260,3.0,1,1,1
8204,3.0,1,1,1
4650,3.0,1,1,1
857,3.0,1,1,1
10818,3.0,1,1,1
987,3.0,1,1,1
117584,3.0,1,1,1
4624,3.0,1,1,1
595,3.0,1,1,1
23376,3.0,1,1,1
55689,3.0,1,1,1
596,3.0,1,1,1
9644,3.0,1,1,1
8842,3.0,1,1,1
1031,3.0,1,1,1
154,3.0,1,1,1
7514,3.0,1,1,1
10152,3.0,1,1,1
905,3.0,1,1,1
10266,3.0,1,1,1
4088,3.0,1,1,1
51,3.0,1,1,1
658,3.0,1,1,1
6558,3.0,1,1,1
6201,3.0,1,1,1
84251,3.0,1,1,1
1557,3.0,1,1,1
1655,3.0,1,1,1
51530,3.0,1,1,1
463,3.0,1,1,1
1593,3.0,1,1,1
8945,3.0,1,1,1
1373,3.0,1,1,1
7049,3.0,1,1,1
81570,3.0,1,1,1
57580,3.0,1,1,1
23327,3.0,1,1,1
6237,3.0,1,1,1
50507,3.0,1,1,1
1129,3.0,1,1,1
59343,3.0,1,1,1
23683,3.0,1,1,1
94241,3.0,1,1,1
1398,3.0,1,1,1
11267,3.0,1,1,1
3672,3.0,1,1,1
8395,3.0,1,1,1
80824,3.0,1,1,1
10060,3.0,1,1,1
7040,3.0,1,1,1
2009,3.0,1,1,1
6934,3.0,1,1,1
4883,3.0,1,1,1
1500,3.0,1,1,1
5586,3.0,1,1,1
29763,3.0,1,1,1
22906,3.0,1,1,1
59,3.0,1,1,1
10783,3.0,1,1,1
2099,3.0,1,1,1
2696,3.0,1,1,1
9213,3.0,1,1,1
7525,3.0,1,1,1
79068,3.0,1,1,1
5529,3.0,1,1,1
3663,3.0,1,1,1
6581,3.0,1,1,1
5868,3.0,1,1,1
4507,3.0,1,1,1
152831,3.0,1,1,1
1605,3.0,1,1,1
89780,3.0,1,1,1
4988,3.0,1,1,1
5596,3.0,1,1,1
27347,3.0,1,1,1
2697,3.0,1,1,1
8289,3.0,1,1,1
1843,3.0,1,1,1
10979,3.0,1,1,1
4035,3.0,1,1,1
406,3.0,1,1,1
6833,3.0,1,1,1
1855,3.0,1,1,1
348,3.0,1,1,1
4773,3.0,1,1,1
7329,3.0,1,1,1
84181,3.0,1,1,1
4792,3.0,1,1,1
6720,3.0,1,1,1
8861,3.0,1,1,1
1785,3.0,1,1,1
1488,3.0,1,1,1
5747,3.0,1,1,1
5970,3.0,1,1,1
10174,3.0,1,1,1
22808,3.0,1,1,1
6625,3.0,1,1,1
358,3.0,1,1,1
10614,3.0,1,1,1
5156,3.0,1,1,1
79901,3.0,1,1,1
8633,3.0,1,1,1
5287,3.0,1,1,1
5728,3.0,1,1,1
4846,3.0,1,1,1
7205,3.0,1,1,1
2335,3.0,1,1,1
4292,3.0,1,1,1
1152,3.0,1,1,1
887,3.0,1,1,1
2547,3.0,1,1,1
1106,3.0,1,1,1
2669,3.0,1,1,1
2309,3.0,1,1,1
8178,3.0,1,1,1
23236,3.0,1,1,1
4643,3.0,1,1,1
150094,3.0,1,1,1
1544,3.0,1,1,1
54617,3.0,1,1,1
57130,3.0,1,1,1
3728,3.0,1,1,1
6542,3.0,1,1,1
5774,3.0,1,1,1
114881,3.0,1,1,1
1445,3.0,1,1,1
5208,3.0,1,1,1
5581,3.0,1,1,1
5217,3.0,1,1,1
10864,3.0,1,1,1
5241,3.0,1,1,1
7094,3.0,1,1,1
164,3.0,1,1,1
54822,3.0,1,1,1
6497,3.0,1,1,1
3643,3.0,1,1,1
79109,3.0,1,1,1
6857,3.0,1,1,1
9612,3.0,1,1,1
8170,3.0,1,1,1
5587,3.0,1,1,1
8572,2.0,1,0,1
9635,2.0,1,1,0
6523,2.0,1,1,0
57282,2.0,1,1,0
23166,2.0,1,1,0
57419,2.0,1,1,0
4053,2.0,1,1,0
6546,2.0,1,1,0
23637,2.0,1,0,1
51390,2.0,1,0,1
64116,2.0,1,1,0
7369,2.0,1,1,0
54498,2.0,1,1,0
84444,2.0,1,0,1
11112,2.0,1,0,1
842,2.0,1,1,0
10240,2.0,1,0,1
84871,2.0,1,1,0
2346,2.0,1,0,1
55107,2.0,1,1,0
85004,2.0,1,0,1
259230,2.0,1,1,0
134957,2.0,1,1,0
26577,2.0,1,0,1
8412,2.0,1,1,0
9033,2.0,1,1,0
60312,2.0,1,0,1
29789,2.0,1,0,1
26133,2.0,1,1,0
56992,2.0,1,0,1
55832,2.0,1,0,1
29926,1.0,1,0,0
65110,1.0,1,0,0
744,1.0,1,0,0
55137,1.0,1,0,0
81619,1.0,1,0,0
56913,1.0,1,0,0
